"original address",latitude,longitude
"Abidjan",5.359952,-4.008256
"Accra",5.603717,-0.186964
"Addis Ababa,",8.980603,38.757761
"Algiers,",36.75377,3.058793
"Asmara,",15.322877,38.925052
"Bamako,",12.639232,-8.002889
"Bangui,",4.394674,18.55819
"Banjul,",13.454876,-16.579032
"Bissau,",11.881655,-15.617794
"Blantyre,",-15.766671,35.016787
"Brazzaville,",-4.26336,15.242885
"Bujumbura,",-3.361378,29.359878
"Cairo,",30.04442,31.235712
"Casablanca,",33.57311,-7.589843
"Ceuta,",35.889387,-5.321346
"Conakry,",9.641185,-13.578401
"Dakar,",14.764504,-17.366029
"Dar es Salaam,",-6.792354,39.208328
"Djibouti,",11.825138,42.590275
"Douala,",4.051056,9.767869
"El Aaiun,",27.125287,-13.1625
"Freetown,",8.465677,-13.231722
"Gaborone,",-24.628208,25.923147
"Harare,",-17.825166,31.03351
"Johannesburg,",-26.204103,28.047305
"Juba,",4.859363,31.57125
"Kampala,",0.347596,32.58252
"Khartoum,",15.500654,32.559899
"Kigali,",-1.970579,30.104429
"Kinshasa,",-4.441931,15.266293
"Lagos,",6.524379,3.379206
"Libreville,",0.416198,9.467268
"Lome,",6.172497,1.231362
"Luanda,",-8.839988,13.289437
"Lubumbashi,",-11.687603,27.502617
"Lusaka,",-15.387526,28.322817
"Malabo,",3.750412,8.737104
"Maputo,",-25.891968,32.605135
"Maseru,",-29.363219,27.51436
"Mbabane,",-26.305448,31.136672
"Mogadishu,",2.046934,45.318162
"Monrovia,",6.290743,-10.760524
"Nairobi,",-1.292066,36.821946
"Ndjamena,",12.134846,15.055742
"Niamey,",13.511596,2.125385
"Nouakchott,",18.07353,-15.958237
"Ouagadougou,",12.371428,-1.51966
"Porto-Novo,",6.496857,2.628852
"Sao Tome,",0.330192,6.733343
"Tripoli,",32.887209,13.191338
"Tunis,",33.886917,9.537499
"Windhoek,",-22.560881,17.065755
"Adak,",51.88,-176.658056
"Anchorage,",61.218056,-149.900278
"Anguilla,",18.220554,-63.068615
"Antigua,",17.074656,-61.817521
"Araguaina,",-7.192773,-48.204827
"Buenos Aires,",-34.603684,-58.381559
"Catamarca,",-28.469581,-65.779544
"Cordoba,",37.888175,-4.779383
"Jujuy,",-24.185786,-65.299477
"La_Rioja,",-29.419379,-66.855993
"Mendoza,",-32.889459,-68.845839
"Rio Gallegos,",-51.623048,-69.216829
"Salta,",-24.782127,-65.423198
"San Juan,",18.466334,-66.105722
"San Luis,",38.627003,-90.199404
"Tucuman,",-26.808285,-65.21759
"Ushuaia,",-54.801912,-68.302951
"Aruba,",12.52111,-69.968338
"Asuncion,",-25.26374,-57.575926
"Atikokan,",48.759753,-91.618172
"Bahia,",-12.579738,-41.700727
"Bahia Banderas,",26.090183,-98.323
"Barbados,",13.193887,-59.543198
"Belem,",-1.455755,-48.49018
"Belize,",17.189877,-88.49765
"Blanc-Sablon,",51.426445,-57.131315
"Boa Vista,",2.82351,-60.675833
"Bogota,",4.710989,-74.072092
"Boise,",43.61871,-116.214607
"Cambridge Bay,",69.116864,-105.059681
"Campo Grande,",-20.46971,-54.620121
"Cancun,",21.161908,-86.851528
"Caracas,",10.480594,-66.903606
"Cayenne,",4.92242,-52.313453
"Cayman,",37.9906,-122.231814
"Chicago,",41.878114,-87.629798
"Chihuahua,",28.632996,-106.0691
"Costa Rica,",9.748917,-83.753428
"Creston,",49.09554,-116.513508
"Cuiaba,",-15.601411,-56.097892
"Curacao,",12.16957,-68.99002
"Danmarkshavn,",76.7667,18.6667
"Dawson,",31.7735,-84.446583
"Dawson Creek,",55.759627,-120.237662
"Denver,",39.739236,-104.990251
"Detroit,",42.331427,-83.045754
"Dominica,",15.414999,-61.370976
"Edmonton,",53.544389,-113.490927
"Eirunepe,",-6.65714,-69.866714
"El Salvador,",13.794185,-88.89653
"Fort Nelson,",58.805017,-122.697236
"Fortaleza,",-3.731862,-38.52667
"Glace Bay,",46.196919,-59.957004
